,deu,nds
7833,Der Jäger verfolgte die Fährte des Bären.,De Jäger deed de Spoor vun ’n Baar nagahn.
7834,Niemand war zufrieden.,Nüms weer tofreden.
7835,Niemand beachtete sie.,Nüms deed op em achten.
7836,Niemand lief vor ihm.,Nüms lööp vör em.
7837,Sie pult in der Nase.,Se puult in ’e Nees.
7838,Niemand konnte die richtige Antwort geben.,Nüms kunn de richtige Antwoord geven.
7839,"Es scheint, dass niemand die Wahrheit kannte.","Dat lett, as wenn nüms de Wohrheid kennt hett."
7840,"Es ist interessant, dass niemand den Fehler bemerkt hat.","Dat is intressant, dat nüms den Fehler markt hett."
7841,Wir haben noch eine Rechnung offen.,Wi hebbt noch en Reken apen.
7842,"Er sagt, er habe noch eine Rechnung mit dir offen.","He seggt, he hett noch en Reken mit di apen."
7843,"Es wird Zeit, dass ich aufhöre.","Dat warrt Tied, dat ik opholl."
7844,"Ich frage mich, wem dieses Auto gehört.","Ik fraag mi, ’keen dit Auto tohöört."
7845,Die Gefängniswärter werden ab Mitternacht drei Tage lang streiken.,De Slüters wüllt vun Middernacht af an dree Daag lang strieken.
7846,Die Fotos dort sind seine.,De Fotos dar sünd sien.
7847,Die Fotos dort sind ihre.,De Fotos dar sünd ehr.
7848,Fährt dieser Bus zum Hilton Hotel?,Föhrt düsse Bus na ’t Hilton Hotel?
7849,Ein Versprechen reicht nicht.,En Verspreken reckt nich.
7850,Ich erwarte eine Antwort auf meine Fragen.,Ik wacht op en Antwoord op mien Fragen.
7851,"Wir haben euren Eltern geschrieben, aber sie haben nicht geantwortet.","Wi hebbt joon Öllern schrieven, man se hebbt nich antert."
7852,Deine Freunde sind nicht sehr intelligent.,Dien Frünnen sünd nich besünners ansläägsch.
7853,Ich habe ihren Brief letzte Woche bekommen.,Ik heff ehren Breef vergangen Week kriegen.
7854,Ich habe seinen Brief letzte Woche erhalten.,Ik heff sienen Breef vergangen Week kriegen.
7855,Wer kümmert sich um eure Hunde?,’Keen kümmert sik üm joon Hunnen?
7856,Das Frachtschiff kam fünf Stunden früher an.,Dat Frachtschipp keem fief Stünnen ehrder an.
7857,Wir erhielten ein großes Paket.,Wi hebbt en groot Paket kriegen.
7858,Wir machten Herrn Grey zum Vorsitzenden des Komitees.,Wi hebbt Herrn Grey to ’n Vörsitter vun dat Komittee maakt.
7859,Wir besprachen den Plan mit ihm.,Wi hebbt den Plaan mit em besnackt.
7860,Wir haben über den Antrag abgestimmt.,Wi hebbt över den Andrag afstimmt.
7861,Wir blieben in einem Hotel am See.,Wi sünd in dat Hotel an ’n See bleven.
7862,Wir stimmten für den Kandidaten.,Wi hebbt för den Kannedaten stimmt.
7863,Wir kauften die Waren für drei Dollar das Dutzend.,Wi hebbt de Woren för dree Dollar dat Dutz köfft.
7864,Wir diskutierten die Angelegenheit.,Wi hebbt över de Saak snackt.
7865,Carl Benz hat 1886 das Patent für das erste Automobil erhalten.,Carl Benz hett 1886 dat Patent för dat eerste Automobil kriegen.
7866,Der Sommer ist zu Ende.,De Sommer is toenn.
7867,Ich habe Tom seit 1988 nicht mehr gesehen.,Ik heff Tom na 1988 nich mehr sehn.
7868,Ich habe jemanden meinen Namen rufen hören.,Ik heff een mien Naam ropen höört.
7869,Sind Sie ein wandelndes Wörterbuch?,Büst du en Wöörbook op Been?
7870,"Es ist verboten, in der Bücherei zu reden.",Dat is verbaden in de Bökeree to snacken.
7871,Sie wählten Jean zum Mannschaftskapitän.,Se hebbt Jean to ’n Käppen vun de Mannschop wählt.
7873,"Obwohl der Gründonnerstag kein gesetzlicher Feiertag ist, gilt an diesem Tag nach Paragraph 10 des Feiertagsgesetzes in Baden-Württemberg ein Tanzverbot.","Ofschoonst Grööndunnersdag na ’t Gesett keen Fierdag is, gellt an dissen Dag na Paragraaf 10 vun dat Fierdaaggesett in Baden-Württembarg en Dansverbaad."
7874,Hier kommt Jane. Kennst du sie?,Huer kummt Jane. Kennst du ehr?
7875,Ich lese nur Krimis.,Ik lees bloot Krimis.
7876,"Ich möchte gern die Bäume sehen, von denen du diese Äpfel gepflückt hast.","Ik will geern de Bööm sehn, vun de du düsse Appels plückt hest."
7877,Ab jetzt werde ich nie wieder lügen.,Von nu af an will ik nie wedder legen.
7878,Der Fisch stinkt zuerst am Kopf.,De Fisch fangt dat rüken bi ’n Kopp an.
7879,Lincoln Park ist ein Stadtviertel im Norden Chicagos.,Lincoln Park is en Naverschop in ’ Noord vun Chicago.
7880,Der Korkenzieher ist eine Fehlkonstruktion.,De Proppentrecker is Murks.
7881,"Es hat mich ungefähr eine Stunde gekostet, dieses Buch zu Ende zu lesen.","Dat hett mi üm un bi een Stünn köst, dit Book toenn to lesen."
7882,Ich habe Kopfweh. Vielleicht sollte ich Aspirin nehmen.,Ik heff Koppwehdaag. Villicht schölen ik en Aspirin nehmen.
7883,"Übersetzung und Übersetzer bilden eine Einheit, die der von Eigelb und Eierbecher gleicht.","Översett Text un Översetter billt en Eenheid, de de vun Eigeel un Eierbeker gliekt."
7884,Wir hatten eine schwierige Zeit.,Wi harrn en swore Tied.
7885,Schließlich erreichten wir die Spitze des Fuji.,Toletzt hebbt wi den Topp vun ’n Fuji raakt.
7886,Wir schlugen die Zeit mit Kartenspielen tot.,Wi hebbt de Tied mit Koortenspelen doodslahn.
7887,Wir schrien alle zur gleichen Zeit.,Wi hebbt all to de sülve Tied schreet.
7888,Wir hatten alle eine angenehme Zeit.,Wi harrn all en gode Tied.
7889,Wir tanzten zur Musik.,Wi hebbt to de Musiek danst.
7890,Er sagt dauernd Schlechtes über die anderen.,He vertellt ümmer legen Kraam över de ännern.
7891,Ich habe ein Visum.,Ik heff en Visum.
7892,Alles vom Schwein ist zu gebrauchen.,Allens vun ’t Swien is to bruken.
7893,Mein Arm schmerzt fürchterlich.,Mien Arm smartt düchtig.
7894,"Ich war gerade beim Essen, als ihr mich angerufen habt.","Ik weer jüst bi ’t Eten, as ji mi anropen hebbt."
7895,Er bereiste ganz Europa.,He is dör ganz Europa reist.
7896,5 plus 2 ergibt 7.,Fiev plus twee sünd söven.
7897,Der Präsident der USA ist gerade in Japan.,De Präsident vun de USA is jüst in Japan.
7898,Ist der Außenminister schon da?,Is de Butenminister al dar?
7899,"Dein Tee wird kalt, wenn du ihn nicht jetzt trinkst.","Dien Tee warrt koolt, wenn du em nu nich drinkst."
7900,Ich wasche meine Hände vor dem Essen.,Ik wasch mien Hannen vör ’t Eten.
7901,Er ist in seinen Gedanken gefangen.,He is in sien Gedank fungen.
7902,Die Zahl der Autos steigt.,De Tall vun de Autos stiggt.
7903,"Er forderte, dass ich sofort das Geld bezahle.","He deed feddern, dat ik foorts dat Geld betahl."
7904,"Es ist Zeit, dass du beginnst, den Tisch zu säubern.","Dat warrt Tied, dat du anfangst, den Disch reintomaken."
7905,Anne hat keine Schwester.,Anne hett kene Süster.
7906,Die Bergspitze liegt unter Schnee.,De Topp vun ’n Barg liggt ünner Snee.
7907,Er ist an Bord des Schiffes.,He is an Boord vun dat Schipp.
7908,"Bell hat früher in London gewohnt, oder?","Bell hett fröher in London wahnt, oder nich?"
7909,Ich möchte das aufessen.,Ik will dat opeten.
7910,Verliere nicht deine Handtasche.,Verleer dien Handtasch nich.
7911,Das Frühjahr ist vorbei und der Sommer fängt an.,Dat Vörjahr is vörbi un de Sommer fangt an.
7912,"Ich habe in der Zeitung gelesen, dass er umgebracht wurde.","Ik heff in dat Blatt leest, dat he ümbrocht worrn is."
7913,Die Katze miaut immerzu.,De Katt deed jümmerto mauen.
7914,Ist das dein Glas oder das von deiner Schwester?,Is dat dien Glas oder dat vun dien Süster?
7915,Ich bin auf der Suche nach den Käsen.,Ik bün op de Söök na ’n Kees.
7916,Ich habe drei Tage nichts mehr gegessen.,Ik heff dree Daag nix mehr eten.
7917,Sie trug ein weißes Kleid.,Se dröög en witt Kleed.
7918,Die Pflanzen brauchen Regen.,De Planten bruukt Regen.
7919,"Du bist nicht alt genug, um alleine zum Schwimmen zu gehen.","Du büst nich oolt noog, üm alleen swemmen to gahn."
7920,Wie wird Dein Name buchstabiert?,Woans warrt dien Naam schrieven?
7921,Ein Major ist mehr als ein Hauptmann.,En Major steiht över en Kaptein.
7922,Ein Major ist mehr als ein Hauptmann.,En Major steiht över en Hauptmann.
7923,Das ist nicht weit nach Paris.,Dat is nich wiet vun Paris.
7924,Er tat nichts außer Lachen.,He deit nix as lachen.
7925,Er wollte Bauer werden.,He woll Buur warrn.
7926,Gewohnheit hat große Kraft.,Gewuënhait häf graute Kraft.
7927,Ich bin keine Hexe.,Ik bün keen Hex.
7928,Die Leute wohnten in Dörfern.,De Lüüd hebbt in Dörper wahnt.
7929,"Habt ihr gehört, dass ein Dieb in das Haus meines Nachbarn eingebrochen ist?","Häbt ji häört, dat en Daiw in mien Naobern sien Huus inbruoken hät?"
7930,Es ist zu spät.,Et is to laat.
7931,Das ist meine Tochter.,Dat is mien Dochter.
7932,Mein Vater ist daheim.,Mien Vadder is inne.
7933,Diese Blume riecht süß.,Düsse Blome rükt sööt.
7934,Dieses Wasser ist gut zu trinken.,Düt Water is geod to drinken.
7935,Wir hatten kein Wasser zum Trinken.,Wi hadden keen Water to drinken.
7936,Wo ist dein Haus?,Wao is dien Huus?
7937,Die Uhr im Kirchturm schlägt neun.,De Klock in den Kiärktaon släög niëgen.
7938,Das ist dummes Zeug!,Dat is dum Tüüg!
7939,Ich muss nun nach Hause gehen.,Ik mit nu nao hus.
7940,Mein Kissen ist so weich!,Mien Küssen is sao smööde!
7941,Abends gehe ich um zehn ins Bett.,Aoms gao ik üm tain in't Bedde.
7942,"Warum gibst du mir nicht das, was ich haben will?","Waorüm givs du mi nich, wat ik hebben wil?"
7943,"Unsere Anna ist seit zwanzig Jahren verheiratet - nichts ist passiert, unser Mariechen war ein Mal auf dem Blasheimer Markt - und schon!","Usse Anna, twintig Jaor friet - nix, usse Mariechen, een Maol naon Blasheimer Markt - dä!"
7944,Küsst mich.,Küsst mi.
7945,Ich habe ein Buch bei Amazon.com bestellt.,Ik häb en Book bi Amazon.com bestellt.
7946,Sie hat eine lange Nase.,Et hät en lang Niërsen.
7947,Japanische Häuser sind klein.,Japansche Hüüs sünd lütt.
7948,Kann ich mit dir schwatzen?,Kann ik mit di kwatern?
7949,Heute ist bei uns Schützenfest.,Vandage is Schützenfest bi uns.
7950,Was habt ihr nur wieder für einen Mist gemacht?,Wat hefft jou all weer vorn Schiet maket!
7951,"Wenn unser Walter das in der Schule weiter so macht, dann wird er mal ein richtiger Klugscheißer.","Wenn uns Walter inne School sau wedder makt, denn wett dat mal n richtigen Klookschieter."
7952,Mach mal halblang.,Maak mal foffteihn.
7953,Wir schwatzten so ein bisschen über dies und das.,Wi küert so n bietken över dit un dat.
7954,Er ist furchtsam wie ein Hase.,He is bang as en Haas.
7955,Ich muss nun weggehen.,Ik mutt nu weg.
7956,Viele Länder haben mit der Armut Probleme.,Veel Länner hebbt Probleems mit Armood.
7957,Schleiche dich nicht aus dem Konzert hinaus!,Sliek di nich ut dat Kunzert rut!
7958,Kann ich etwas zum Trinken bekommen?,Kann ik wat to drinken kriegen?
7959,"Sie hat ihren Hut verloren, aber hat ihn bald wiedergefunden.","Se harr ehren Hoot verloren, hett em aver gau wedderfunnen."
7960,Ich vermisse dich die ganze Zeit.,Ik miss di de ganze Tied.
7961,"Ich freue mich, dass du kommen willst.","Ik frei mi, dat du kamen wullt."
7962,Das hat Taro Akagawa geschrieben.,Dat hett Taro Akagawa schrieven.
7963,Das Auto gehört mir.,Dat Auto höört mi to.
7964,Das Balkangebirge erstreckt sich von West nach Ost durch Bulgarien.,De Balkan-Bargkeed löppt vun West na Oost dör Bulgarien.
7965,"Schließe das Fenster, Jim.","Maak dat Finster dicht, Jim."
7966,"Papa, kaufe mir eine Vuvuzela!","Papa, kööp mi en Vuvuzela!"
7967,Wir laufen zu dem Feuer hin.,Wi löpen na dat Füer hen.
7968,"Erzähle ihm das, wenn er zurückkommt.","Vertell em dat, wenn he trüggkummt."
7969,Er wird nachmittags am Fünften ankommen.,He schall namiddags an ’n Föfften ankamen.
7970,Ich hätte gerne einen Kaffee.,Ik harr geern en Kaffe.
7971,Viele Menschen sind im Krieg verhungert.,Veel Lüüd sünd in den Krieg verhungert.
7972,Was für ein Essen magst du gerne?,Wat för ’n Soort Eten magst du geern?
7973,Er ist unter laufendem Radio eingeschlafen.,He is bi dat ane Radio toslapen.
7974,Ihr seid die neuen Studenten.,Ji sünd nee’e Studenten.
7975,"Ich habe ihm das wenige Geld gegeben, das ich bei mir hatte.","Ik heff em dat wenig Geld geven, dat ik bi mi harr."
7976,"Viele Menschen denken, dass ich ein bisschen komisch im Kopf bin.","Veel Lüüd denkt, dat ik en beten raar in ’n Kopp bün."
7977,Wir haben sie in der Menschenmenge aus den Augen verloren.,Wi hebbt ehr in de Minschenmeng ut de Ogen verloren.
7978,Ihr Haar hing in netten Locken herab.,Ehr Hoor hüng in adrette Krüllen dal.
7979,Gehe zwei Schritte vor.,Gah twee Schreed vör.
7980,Um den Inhalt auszurechnen nimm die Länge mal der Breite mal der Tiefe.,"Üm den Inholt uttoreken, nehm de Längd mal de Breed mal de Deepd."
7981,Sie versucht so viel zu sparen wie es geht.,Se versöcht so veel to sparen as man geiht.
7982,Ich leihe dir mein Notizbuch.,Ik lehn di mien Notizbook.
7983,"Ich glaube nicht, dass es Gespenster gibt.","Ik glööv nich, dat dat Spökels gifft."
7984,All diese Blumen sehen gleich aus.,All de Blomen seht egaal ut.
7985,Ducke dich!,Duuk di!
7986,Mir gefällt dieses Hemd nicht. Zeige mir ein anderes.,Mi gefallt dit Hemd nich. Wies mi en anner.
7987,Sprichwörter sind voll Weisheit.,Seggwöör sünd vull Wiesheid.
7988,Er kauft Kleidung.,He köfft Kledaasch.
7989,Ich musste zwischen A und B wählen.,Ik müss wählen twischen A un B.
7990,Englisch zu sprechen ist nicht leicht.,Engelsch snacken is nich licht.
7991,Englisch sprechen ist nicht leicht.,Engelsch snacken is nich licht.
7992,Es ist schwierig zu atmen bei dieser feuchten Luft.,Dat is swaar Luft to kriegen bi so dämpige Luft.
7993,Die hohe Luftfeuchtigkeit macht mich ganz müde.,De hoge Luftfuchtigkeid maakt mi ganz dösig.
7994,Sie hat einen ganzen Berg an Kleidung.,Se hett en ganzen Barg Kledaasch.
7995,Er antwortete kurz.,He deed kort antern.
7996,Kommst du hier jeden Tag her?,Kummst du hier elk Dag her?
7997,Kannst du Plattdeutsch sprechen?,Kannst du Platt küern?
7998,Vertraust du ihr?,Vertroost du ehr?
7999,Vertrauen Sie ihr?,Vertroost du ehr?
8000,Wir hatten ein langes Gespräch.,Wi harrn n langen Klöönsnack.
8001,Wir haben lange gequasselt.,Wi harrn n langen Klöönsnack.
8002,Behalte das Wechselgeld.,Beholl dat Wesselgeld.
8003,Fährst du mit dem Bus nach Tokio?,Föhrst du mit ’n Bus na Tokyo?
8004,Da ist ein Ungeheuer unter meinem Bett.,Dor sitt en Monster ünner mien Bedd.
8005,Ich habe alles getan.,Ik heff dat al daan.
8006,Da ist ein Fernseher in meinem Zimmer.,Dor is en Kiekschapp in mien Kamer.
8007,Jack bürstete den Staub von seinem Mantel.,Jack deed ’n Stoff vun sien Mantel afbössen.
8008,Ich bewahre meinen Hammer in der Werkzeugkiste auf.,Ik heff mien Hamer in de Warktüügkist.
8009,Bill kommt nächste Woche zurück.,Bill kummt toern Week trügg.
8010,Normalerweise fahre ich mit dem Bus in die Schule.,Normalerwies föhr ik mit ’n Bus na School.
8011,Ich spreche kein Französisch mehr mit dir.,Ik snack mit di keen Fransch mehr.
8012,Der Mann besucht Moskau.,De Mann besöcht Moskau.
8013,Maria versteht Chinesisch.,Maria versteiht Chineesch.
8014,Sie ist ein Doktor.,Se is Dokter.
8015,"Nachdem ich Fernsehen geschaut habe, ging ing ins Bett.","Nadat ik TV keken harr, güng ik na Bedd."
8016,Wann ist die Regenzeit zu Ende?,Wannehr is de Regentied toenn?
8017,"Was auch der Grund gewesen sein mag, sie haben nicht geheiratet.","Wat ok de Grund wesen mag, se hebbt sik nich freet."
8018,"Ich schäme mich, so angezogen, auszugehen.","Ik schaam ruttogahn, so antagen."
8019,Dieser Satz gehört mir nicht.,Disse Satz höört mi nich.
8020,Sie zieht sich immer schwarz an.,Se tütt sik ümmer swart an.
8021,Bist du ein Zauberer?,Büst du en Töverer?
8022,"Du bist so ein guter Junge, Tom!","Du büst so ’n goden Jung, Tom!"
8023,"Weißt du, wann der Laden schließt?",Weetst du wannehr de Laden slütt?
8024,"Was magst du am Liebsten: Äpfel, Orangen oder Weintrauben?","Wat magst du opleevst: Appels, Appelsienen oder Wiendruven?"
8025,Ich kann mit meinem besten Freund über alles sprechen.,Ik kann mit mien besten Fründ över allens snacken.
8026,Ich habe sie Arm in Arm laufen gesehen.,Ik heff jem Arm in Arm lopen sehn.
8027,Hast du schon was von Nessie gehört?,Hest du al vun Nessie höört?
8028,Der Mississippi mündet in den Golf von Mexiko.,De Mississippi münnt in ’n Golf vun Mexiko.
8029,Ein Wasserfall von Schweiß lief von meinem Gesicht herunter.,En Waterfall vun Sweet lööp pieplings mien Gesicht dal.
8030,Er hat eine Stunde nichts gesprochen.,He hett nu een Stünn nix snackt.
8031,Er hat vier Kinder zu versorgen.,He hett för veer Kinner to sorgen.
8032,Ich hatte ein langes Gespräch mit ihr.,Ik harr en lang Gesprääk mit ehr.
8033,Ich werde bis vier Uhr warten.,Ik tööv bet Klock veer.
8034,Ich warte bis vier Uhr.,Ik tööv bet Klock veer.
8035,Ich warte bis 4 Uhr.,Ik tööv bet Klock veer.
8036,Hast du jemals einen so guten Film gesehen?,Hest du al mal son goden Film sehn?
8037,"Er suchte ein Paar Socken aus, die zu seinem Anzug passen würden.","He deed en Paar Söcken utsöken, de to sien Antog passen deden."
8038,Heute Abend will ich in ein Konzert gehen.,Vonavend will ik na en Kunzert gahn.
8039,Herr Wang ist ein Chinese.,Herr Wang is en Chinees.
8040,Der Fahrer fuhr von 1995 bis 1999 für Ferrari.,De Fahrer hett vun 1995 bet 1999 för Ferrari föhrt.
8041,Ich habe drei Monate später einen Brief bekommen.,Ik heff dree Maand later en Breef kriegen.
8042,"Nachdem er den Hund gefüttert hat, hat er sich selbst zu seinem Abendessen hingesetzt.","As he den Hund fodert harr, hett he sik sülvens hensett un Avendeten hatt."
8043,Gestern habe ich ihnen geholfen.,Güstern heff ik jem hulpen.
8044,Er ist nicht mehr allein.,He is nich mehr alleen.
8045,Niemand braucht klingonisches pIqaD auf Tatoeba.,Nüms bruukt klingoonsch pIqaD op Tatoeba.
8046,Ein Onkel von mir ist Arzt.,En Unkel vun mi is Dokter.
8047,Im Anfang war das Wort.,In ’n Anfang weer dat Woort.
8048,Unser Haus ist dein Haus.,Uns Huus is dien Huus.
8049,Ich bezahlte ihm vier Dollar.,Ik heff em veer Dollar betahlt.
8050,Damals nannte mich jeder Tony.,Dunn hett mi elkeen Tony nöömt.
8051,"Alle wissen ganz genau, dass er es getan hat.","Se weet all ganz nau, dat he dat daan hett."
8052,"Sie bestand darauf, dass er zur Party eingeladen werden sollte.","Se woll dat partu, dat he to de Party inlaadt warrt."
8053,Es ist so verdammt kalt!,Dat is so gräsig koolt!
8054,"Er fühlt, dass das neue Gesetz seine Freiheit einschränken wird.","Em weer, dat dat nee’e Gesett sien Freeheid minnern schölen."
8055,"Ich konnte meinen Ohren kaum trauen, als ich die Nachrichten gehört habe.","Ik kunn mien Ohren kuum glöven, as ik de Narichten höört heff."
8056,Wie schmeckt diese Suppe?,Wo smeckt düsse Supp?
8057,Das ist meine CD.,Dat is mien CD.
8058,Ich will lieber tot sein als dich heiraten!,Ik woll lever doot wesen as di to freen!
8059,Er mag Orangen sehr.,He mag geern Appelsienen.
8060,"Es gibt nichts, was besser ist als ein heißes Bad.","Gifft nix, wat beter is as en heet Bad."
8061,Die Lampe ging aus und alles war dunkel.,De Lamp deed utgahn un allens weer düüster.
8062,"Ich war kaum ins Bett gegangen, als das Telefon klingelte.","Ik weer jüst in ’t Bedd gahn, as dat Telefoon klingel."
8063,Willkommen bei Tatoeba.,Willkamen bi Tatoeba.
8064,Willkommen bei Tatoeba.,Willkommen beid Tatoeba.
8065,Das Schlimmste am Winter ist der Schnee.,Dat Slimmste an ’n Winter is de Snee.
8066,Das Schlimmste am Frühling ist der Matsch.,Dat Slimmste an ’t Vörjahr is de Mudd.
8067,Das Schlimmste am Sommer ist die Hitze.,Dat Slimmste an ’n Sommer is de Hitt.
8068,Warum bist du hierhergekommen?,Worüm büst du hier herkamen?
8069,"Erzähle mir, was du willst.","Vertell mi, wat du wullt."
8070,"Verstehst du, was ich meine?","Versteihst du, wat ik meen?"
8071,Ich bin heute in einer schlechten Verfassung.,Ik bün vondaag slecht toweeg.
8072,Ich kann dir nicht genug danken.,Ik kann di nich noog danken.
8073,Sie trägt immer Schwarz.,Se driggt ümmer swart.
8074,Die Straße ist glitschig.,De Straat is slibberig.
8075,Die Straße ist glitschig.,De Straat is glitschig.
8076,Hast du nicht zwei Computer?,Hest du nich twee Computers?
8077,Welcher Doktor behandelt dich?,Wat för ’n Dokter behannelt di?
8078,Es gibt an jeder Kasse eine lange Schlange.,Dat gifft an jeder Kass en lang Slang.
8079,Die Frau isst eine Orange.,De Fro itt en Appelsien.
8080,Es gibt keine Katze.,Dat gifft keen Katt.
8081,Ich suchte seine Telefonnummer im Telefonbuch.,Ik söök sien Telefoonnummer in ’t Telefoonbook.
8082,Der Asama ist nicht so hoch wie der Fuji.,De Asama is nich so hooch as de Fuji.
8083,Du darfst nicht raus.,Du dröffst nich rut.
8084,Ich habe immer ein Wörterbuch bei der Hand.,Ik heff ümmer en Wöörbook bi ’e Hand.
8085,Mathematik fällt mir schwer.,Mathematik fallt mi swaar.
8086,"Zeit hat man nicht, Zeit muss man sich nehmen!","Tied hett een nich, Tied mutt een sik nehmen!"
8087,Japaner haben sich früher hauptsächlich von Reis ernährt.,Japaners hebbt sik fröher vör alleen vun Ries nehrt.
8088,Ich bin ein Mann ohne Frau.,Ik bün en Mann ahn Fro.
8089,"Wer die 80er nicht erlebt hat, war nicht dabei.","’Keen de Johren 80 nich beleevt hett, weer dar nich bi."
8090,"Es ist notwendig, dass die ganze Welt zusammen gegen den Klimawandel ankämpft.","Dat is nödig, dat de ganze Welt tohoop gegen den Klimawannel angeiht."
8091,Sie setzt sich mit dem Problem auseinander.,Se deed sik mit dat Probleem uteneensetten.
8092,Er arbeitet an einem neuen Roman.,He arbeidt an en nee’en Romaan.
8093,Er arbeitet an einem neuen Plan.,He arbeidt an en nee’en Plaan.
8094,"Es ist leichter, eine Uhr auseinanderzunehmen, als sie wieder zusammenzusetzen.","Dat is en lichter, en Klock uteneentoboon as ehr wedder tohooptosetten."
8095,"Ich mag es, Maschinen zusammenzubauen.","Ik mag dat, Maschienen tohooptosetten."
8096,Washington ist die Hauptstadt der Vereinigten Staaten.,Washington is de Höövdstad vun de Verenigten Staten.
8097,Mir steht das Wasser bis zum Hals.,Mi steiht dat Water bet an ’n Hals.
8098,Er packte mich am Kragen.,He pack mi an ’n Kraag.
8099,Er packte mich am Kragen.,He pack mi an ’n Kragen.
8100,Er packte mich am Kragen.,He kreeg mi bi ’n Kanthaak.
8101,„Radioaktivität“ ist ein Begriff aus der Chemie.,„Radioaktivität“ is en Begreep ut de Chemie.
8102,Wie lange hast du Japanisch gelernt?,Wo lang hest du Japaansch lehrt?
8103,"Chris, du bist ja von oben bis unten nass!",Chris du büst ganz un gaar natt!
8104,Nancy wird niemals mit mir ausgehen. Ich spiele nicht in ihrer Liga.,Nancy schall woll nienich mit mi utgahn. Ik speel nich in ehr Liga.
8105,"Betty schaffte es immer, das zu bekommen, was sie wollte.","Betty kreeg dat ümmer hen, dat to kriegen, wat se woll."
8106,Pass auf! Das Auto hätte dich beinahe überfahren.,Pass op! Dat Auto hett di meist överföhrt.
8107,Sie geht gerne mit ihren Freunden zum Tanzen.,Se geiht geern mit ehr Frünn los danzen.
8108,Ich mag dich nicht.,Ik mag di nich.
8109,Die Autotüre geht nicht richtig zu.,De Autodöör geiht nich önnig to.
8110,"Ich denke, sie hat geweint.","Mi dücht, se hett weent."
8111,Sie ist noch nicht aufgetaucht.,Se is noch nich opduukt.
8112,Sie konnte immer auf alle Fragen antworten.,Se kunn alltied op alleen Fragen antern.
8113,"Das Eis ist dick genug, um darauf zu laufen.","Dat Ies is dk noog, üm dar op to lopen."
8114,Er ist mein jüngster Bruder.,He is mien jüngst Broder.
8115,Wie viele Säcke hast du?,Woveel Säck hest du?
8116,Heute Morgen hat es ein Erdbeben gegeben.,Vonmorgen hett dat en Eerdbeven geven.
8117,"Sie ist wählerisch, was Essen betrifft.","Se is krüüsch, wat Eten angeiht."
8118,Ich fürchte mich vor Schlangen.,Ik bün hellschen bang vör Snaken.
8119,Alle Schüler von dieser Schule müssen außer Englisch noch eine andere Fremdsprache lernen.,All Schölers vun düsse School mööt blangen Engelsch noch en anner Frömdspraak lehren.
8121,Hast du einen Bananenkuchen gegessen?,Hest du en Bananenkoken eten?
8122,Ohne das Sonnenlicht können wir nichts sehen.,Ahn dat Licht vun de Sünn kunnen wi nix sehn.
8123,"Sie hat eine Tochter, die groß ist.",Se hett en groot Dochter.
8124,Wir machten einen Spaziergang den Fluss entlang.,Wi möken en Spazeergang langs ’n Stroom.
8125,Wo willst du gerne sitzen?,Woneem wullt du geern sitten?
8126,Ich bin um acht Uhr bei dir zu Hause.,Ik bün Klock acht bi di tohuus.
8127,"Ich glaube, dass sie noch nie gelogen hat.","Ik glööv, dat se noch nienich lagen hett."
8128,Ich lief um mein Leben.,Ik lööp för mien Leven.
8129,Das wirst du noch bedauern.,Dat schall di noch ees spieten.
8130,Die Spiele sind zu Ende.,De Spelen sünd toenn.
8131,"Sie wollten sterben, weil sie ihre Eltern nicht zufrieden machen konnten.","Se woll starven, vonwegen dat se ehr Öllern nich tofreden maken kunn."
8132,Ich habe Naschzeug für die Kinder mitgebracht.,Ik heff Snökerkraam för de Kinner mitbröcht.
8133,Woher kennst du meinen Namen?,Wo kennst du mien Naam vun?
8134,Das Mädchen schloss die Augen und hörte dem Pfarrer zu.,De Deern deed ehr Ogen dicht un höör ’n Paster to.
8135,Er ist von einer anderen Welt.,He is ut en anner Welt.
8136,"Der Junge suchte nach dem Schlüssel, den er verloren hatte.","De Jund deed na ’n Slötel söken, den he verloren harr."
8137,Er scheint hungrig zu sein.,He sütt hungerig ut.
8138,Sie bekommt ihr Kind im Juli.,Se kriggt ehr Kind in ’n Juli.
8139,Er hat mir einen kurzen Brief geschickt.,He hett mi en korten Breef tostüürt.
8140,"Lasse mich los, du erstickst mich.","Laat mi los, du drückst mi de Luft af."
8141,Wo ist Norden?,Woneem is Noord?
8142,Okonatta ist das richtige Wort.,„Okonatta“ is dat richtige Woort.
8143,Der Appetit kommt mit dem Essen.,De Aptiet kummt mit dat Eten.
8144,Es hat zu regnen begonnen.,Dat hett dat Regen anfungen.
8145,Er arbeitet ziemlich hart.,He arbeidt temlich hart.
8146,"Dean isst wirklich viel, meinst du nicht auch?","Dean itt würklich veel, meenst du nich?"
8147,Er ist schnell.,He is gau.
8148,Er lebt oben auf diesem Berg.,He leevt op ’n Topp vun dissen Barg.
8149,"Der Doktor hat mir gesagt, dass ich ins Bett gehen soll.","De Dokter hett mi seggt, dat ik to Bedd gahn schölen."
8150,Ich habe in den letzten drei Tagen nichts gegessen.,Ik heff in de vergangen dree Daag nix eten.
8151,Oma schaut gerne Fernsehen.,Oma kkt geern Feernsehn.
8152,Ich gehe zurück.,Ik gah trügg.
8153,Ich möchte einen Kamillentee.,Ik will en Kamellentee.
